competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202412,3,Sudeste,disturbios_metabolicos,diabetes_na_gestacao,2105,55987,3.7598,7929,1198645.56,0
202412,3,Sudeste,hemorragias,hemorragia_pos_parto,91,55987,0.1625,233,68907.43,0
202412,3,Sudeste,hemorragias,outras_hemorragias_obstetricas,1397,55987,2.4952,2570,414350.87,1
202412,3,Sudeste,infeccoes,infeccao_geniturinaria_gestacao,851,55987,1.52,3352,202131.13,0
202412,3,Sudeste,infeccoes,infeccao_puerperal,390,55987,0.6966,1917,187147.81,1
202412,3,Sudeste,outras_condicoes_maternas,anemia_complicando_gestacao,59,55987,0.1054,220,24346.04,0
202412,3,Sudeste,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,1358,55987,2.4256,4946,542211.50,0
202412,3,Sudeste,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,8,55987,0.0143,22,3014.20,0
202412,3,Sudeste,outras_condicoes_maternas,outras_condicoes_da_gestacao,733,55987,1.3092,2553,294218.72,1
202412,3,Sudeste,transtornos_hipertensivos,eclampsia,209,55987,0.3733,1004,170606.76,1
202412,3,Sudeste,transtornos_hipertensivos,hipertensao_gestacional,726,55987,1.2967,2382,430590.65,0
202412,3,Sudeste,transtornos_hipertensivos,outros_hipertensivos,1112,55987,1.9862,3854,887861.74,0
202412,3,Sudeste,transtornos_hipertensivos,pre_eclampsia,1189,55987,2.1237,4789,979676.51,2
202412,4,Sul,complicacoes_anestesicas,anestesia_obstetrica,7,21394,0.0327,13,3064.40,0
202412,4,Sul,complicacoes_gestacao,liquido_membranas_ou_placenta,614,21394,2.87,1801,473362.56,0
202412,4,Sul,complicacoes_parto,trabalho_de_parto_ou_parto,2670,21394,12.4801,7072,1837421.10,0
202412,4,Sul,complicacoes_puerperais,outras_complicacoes_puerperais,97,21394,0.4534,282,36676.20,0
202412,4,Sul,complicacoes_vasculares,complicacoes_venosas,38,21394,0.1776,123,10748.17,0
202412,4,Sul,complicacoes_vasculares,embolia_obstetrica,1,21394,0.0047,4,382.57,0
202412,4,Sul,desfecho_abortivo,gestacao_com_desfecho_abortivo,1923,21394,8.9885,2252,580418.74,0
202412,4,Sul,disturbios_metabolicos,diabetes_na_gestacao,571,21394,2.669,1989,316650.78,0
202412,4,Sul,hemorragias,hemorragia_pos_parto,35,21394,0.1636,63,13550.74,0
